iter	RMSE
1305	85239.83227
1306	85228.48254
1307	85226.21482
1308	85215.93438
1309	85206.64605
1310	85204.58676
1311	85194.47122
1312	85186.29143
1313	85179.26681
1314	85174.12523
1315	85163.01981
1316	85158.09803
1317	85154.24557
1318	85144.7422
1319	85129.08723
1320	85120.24254
1321	85115.49715
1322	85109.71004
1323	85107.39756
1324	85099.90079
1325	85090.4455
1326	85080.46492
1327	85076.98138
1328	85066.80175
1329	85059.1413
1330	85050.28203
1331	85049.39298
1332	85047.02528
1333	85038.76581
1334	85038.33784
1335	85031.51598
1336	85023.7146
1337	85012.21869
1338	85008.85023
1339	85002.20272
1340	84998.51996
1341	84994.95102
1342	84987.45124
1343	84984.77155
1344	84983.03703
1345	84973.38558
1346	84963.86204
1347	84963.30057
1348	84952.77098
1349	84946.61847
1350	84942.79593
1351	84925.54093
1352	84920.73404
1353	84915.65679
1354	84906.5625
1355	84902.41443
1356	84897.38955
1357	84888.44346
1358	84879.07043
1359	84874.65466
1360	84867.98799
1361	84860.34305
1362	84859.75838
1363	84844.15995
1364	84840.32345
1365	84835.48381
1366	84828.61386
1367	84818.1793
1368	84810.13481
1369	84799.31665
1370	84791.90935
1371	84782.51624
1372	84776.4726
1373	84770.03557
1374	84766.86038
1375	84761.42066
1376	84757.39849
1377	84747.34822
1378	84740.34496
1379	84736.06064
1380	84726.25106
1381	84721.10032
1382	84711.20403
1383	84699.68185
1384	84692.01837
1385	84681.627
1386	84671.81439
1387	84661.49553
1388	84656.59644
1389	84648.75284
1390	84647.07249
1391	84641.47788
1392	84634.06893
1393	84631.30598
1394	84626.63911
1395	84623.13814
1396	84619.7473
1397	84605.3415
1398	84599.72106
1399	84587.43011
1400	84582.93087
1401	84576.25295
1402	84566.20382
1403	84558.50434
1404	84552.88549
1405	84546.03296
1406	84535.18411
1407	84531.49955
1408	84522.02329
1409	84512.37822
1410	84504.12387
1411	84497.57708
1412	84490.02827
1413	84486.346
1414	84482.53204
1415	84477.9837
1416	84473.75558
1417	84463.90883
1418	84459.94255
1419	84454.65472
1420	84450.22484
1421	84445.14468
1422	84435.92868
1423	84430.07055
1424	84428.19826
1425	84422.19345
1426	84415.83032
1427	84409.98725
1428	84407.72973
1429	84383.08312
1430	84382.7389
1431	84373.71232
1432	84366.93144
1433	84364.02974
1434	84352.49179
1435	84345.23116
1436	84338.15119
1437	84333.84013
1438	84331.65203
1439	84326.40772
1440	84318.45456
1441	84313.07408
1442	84304.61834
1443	84298.11509
1444	84289.77379
1445	84283.19987
1446	84279.46284
1447	84275.93858
1448	84272.63394
1449	84269.31572
1450	84256.64179
1451	84254.17514
1452	84239.3623
1453	84237.83182
1454	84231.57264
1455	84225.75063
1456	84223.0255
1457	84221.50529
1458	84212.25072
1459	84210.73004
1460	84210.39703
1461	84203.16019
1462	84196.06645
1463	84185.61109
1464	84173.4013
1465	84169.13953
1466	84164.40879
1467	84156.71945
1468	84156.41041
1469	84151.30901
1470	84147.55885
1471	84144.42314
1472	84142.83436
1473	84135.75221
1474	84128.08844
1475	84116.9644
1476	84112.63124
1477	84112.36713
1478	84111.14383
1479	84100.78041
1480	84094.99902
1481	84090.76558
1482	84085.55002
1483	84074.03489
1484	84066.44662
1485	84061.37403
1486	84056.0382
1487	84049.63755
1488	84042.8658
1489	84037.10767
1490	84033.68995
1491	84026.51084
1492	84015.98653
1493	84013.94013
1494	84011.49185
1495	84005.16105
1496	83998.02357
1497	83993.90605
1498	83990.48058
1499	83984.19923
1500	83975.34919
1501	83972.74243
1502	83967.2205
1503	83961.54523
1504	83954.34556
1505	83950.81675
1506	83940.79589
1507	83936.01969
1508	83926.97516
1509	83915.36496
1510	83905.10337
1511	83900.24543
1512	83897.72242
1513	83893.43388
1514	83889.50861
1515	83884.09334
1516	83878.88231
1517	83872.55519
1518	83869.70406
1519	83858.86419
1520	83849.0959
1521	83842.37358
1522	83830.92944
1523	83827.5811
1524	83821.10154
1525	83816.34783
1526	83808.53972
1527	83802.02709
1528	83796.75252
1529	83791.73803
1530	83789.85139
1531	83780.33236
1532	83774.83059
1533	83767.92569
1534	83760.95005
1535	83752.69583
1536	83748.50366
1537	83743.9944
1538	83739.24175
1539	83734.04096
1540	83727.68304
1541	83720.90117
1542	83714.33392
1543	83710.03271
1544	83702.9886
1545	83696.32237
1546	83692.84713
1547	83689.62499
1548	83681.61473
1549	83675.17802
1550	83669.63335
1551	83657.27556
1552	83649.5962
1553	83642.12582
1554	83629.76125
1555	83621.26487
1556	83618.04641
1557	83613.41878
1558	83604.98098
1559	83600.56315
1560	83590.06706
1561	83586.04598
1562	83583.97126
1563	83578.44408
1564	83569.0965
1565	83558.46567
1566	83554.1512
1567	83548.56156
1568	83543.11346
1569	83537.58604
1570	83534.92708
1571	83527.02217
1572	83521.70521
1573	83510.93997
1574	83508.81619
1575	83500.8588
1576	83495.39069
1577	83489.08922
1578	83480.78513
1579	83474.7686
1580	83469.9965
1581	83464.28603
1582	83460.68465
1583	83460.02918
1584	83456.41142
1585	83451.45357
1586	83449.82378
1587	83444.87608
1588	83444.30482
1589	83438.24942
1590	83432.52209
1591	83428.15776
1592	83422.6351
1593	83418.53051
1594	83414.46834
1595	83410.42518
1596	83402.33447
1597	83396.64159
1598	83386.24906
1599	83372.58199
1600	83362.80722
1601	83355.34222
1602	83348.55724
1603	83342.07906
1604	83333.64845
1605	83327.86693
1606	83318.39843
1607	83311.99671
1608	83308.63006
1609	83305.74124
1610	83303.68112
1611	83303.17571
1612	83299.54466
1613	83299.31223
1614	83295.14529
1615	83293.35966
1616	83288.90877
1617	83279.11289
1618	83270.43595
1619	83264.34903
1620	83254.86318
1621	83250.85678
1622	83246.0009
1623	83242.71452
1624	83241.18166
1625	83234.86529
1626	83224.55149
1627	83224.13307
1628	83219.31789
1629	83216.85379
1630	83215.40283
1631	83213.03291
1632	83207.8583
1633	83202.65644
1634	83198.89629
1635	83197.60538
1636	83194.34241
1637	83192.52553
1638	83192.19995
1639	83182.68285
1640	83181.31845
1641	83179.27677
1642	83174.84903
1643	83170.74542
1644	83165.61369
1645	83159.4758
1646	83155.90789
1647	83145.46732
1648	83132.33461
1649	83126.95031
1650	83123.64741
1651	83117.50007
1652	83114.04665
1653	83103.93907
1654	83098.47531
1655	83090.56888
1656	83082.07234
1657	83080.30955
1658	83080.00969
1659	83076.35209
1660	83070.92331
1661	83070.68438
1662	83070.2252
1663	83070.01113
1664	83066.4303
